Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,No Tax Liens,No Credit Problems,No Bankruptcies,Credit Score Tier,Credit Default,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Purpose_renewable energy
-0.63515097,1.1753724,-0.11095342,-0.43412268,0.6081869,-0.61299974,3.6705375,5.428563,0,-1.3386972,-0.719972,-0.16639772,-0.24813476,True,False,False,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.35724598,0.6423881,-0.11095342,0.78822255,-0.41432607,-0.15435226,-0.3409789,-0.33709905,0,-0.44718814,-0.057109404,-0.6731909,-0.22727594,True,True,True,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.710101,1.1753724,-0.11095342,-0.8415711,1.0910401,-0.41126359,-0.3409789,-0.33709905,0,-1.0746561,-0.22819,-0.22526085,-0.22240888,True,True,True,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,1.1753724,-0.11095342,0.99194676,0.7644042,1.4220216,-0.3409789,-0.33709905,0,0.28425252,1.9793594,0.48763716,-0.2314477,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.43621942,1.1753724,-0.11095342,0.78822255,-0.62734956,0.1208553,-0.3409789,-0.33709905,1,1.3543693,0.8593254,0.46541676,-0.29054773,True,True,True,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.20734605,1.1753724,-0.11095342,1.195671,1.6591028,0.6558697,-0.3409789,-0.33709905,1,0.76264185,1.0498334,1.1054486,-0.2314477,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.9565645,-0.11095342,-0.8415711,-0.5847449,-0.686853,-0.3409789,-0.33709905,0,-0.46610966,-0.70227814,-0.41526636,-0.2314477,True,True,True,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,0.10940389,-0.11095342,0.58449835,-0.13029471,-0.5037631,1.6647792,2.545732,0,-0.51542026,-0.42951754,0.18845813,-0.2314477,True,False,False,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.34403875,1.1753724,-0.11095342,0.17704992,-0.10189146,-0.3733028,-0.3409789,-0.33709905,1,0.5129353,-0.7226022,-0.37476653,-0.25369713,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.49557075,-0.9565645,-0.11095342,-0.43412268,-0.8971793,-0.23593765,-0.3409789,-0.33709905,0,-1.0584104,-0.47853434,-0.29393452,-0.2196277,True,True,True,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.6728815,0.6423881,-0.11095342,0.78822255,0.9774277,3.686844,-0.3409789,-0.33709905,0,0.38516727,3.5613468,0.4921651,-0.21754181,True,True,True,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-1.4895487,3.571129,-0.02667429,0.8070088,-0.20704548,1.6647792,-0.33709905,1,0.2126757,0.42857537,0.1648961,-0.2314477,False,False,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.7102767,-0.15708822,-0.11095342,-0.8415711,0.05432584,-0.5456695,-0.3409789,-0.33709905,0,-1.2379736,-0.42945778,0.03870091,-0.2689936,True,True,True,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8525436,-0.15708822,-0.11095342,-0.8415711,-1.3090247,-0.54236025,-0.3409789,-0.33709905,0,-0.8999666,-0.5481741,-1.1773008,4.40547,True,True,True,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,1.1753724,-0.11095342,-0.23039849,-0.93978405,-0.6126179,-0.3409789,-0.33709905,0,-1.0073797,-0.5114115,-0.47999907,-0.2314477,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.16981429,-0.42358032,-0.11095342,0.78822255,-0.35751972,-0.1433745,-0.3409789,-0.33709905,0,-0.12179547,0.26377133,-0.072904274,-0.243963,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.31488734,-0.42358032,-0.11095342,-0.23039849,-1.2664201,-0.3866352,-0.3409789,-0.33709905,1,0.23819107,-0.32478896,0.13538069,4.2177405,True,True,True,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6992599,-0.9565645,-0.11095342,0.99194676,-0.17289929,0.38174406,-0.3409789,-0.33709905,0,1.78125,-0.28342357,0.9004338,-0.22310416,True,True,True,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0156819,-0.42358032,-0.11095342,1.195671,-0.04508524,1.5999568,-0.3409789,-0.33709905,1,1.8287449,1.3692795,1.4343945,4.3220344,True,True,True,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.5891013,0.10940389,-0.11095342,1.3993952,-0.34331822,0.27378023,-0.3409789,-0.33709905,1,0.3391058,0.066329256,0.006837672,-0.24187711,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.55641556,-0.9565645,-0.11095342,1.8068435,0.21054287,0.31890038,-0.3409789,-0.33709905,1,0.3047031,1.1881565,1.5881765,-0.25022066,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.15708822,-0.11095342,-1.2490195,-0.21550415,-0.8258727,-0.3409789,-0.33709905,0,-0.22232796,-0.71447253,-0.21243171,-0.2314477,True,True,True,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,0.37589598,-0.11095342,-0.43412268,2.8236315,-0.633587,-0.3409789,-0.33709905,0,-0.16393885,-0.46448687,-0.08606882,-0.2314477,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.19572066,1.1753724,-0.11095342,0.78822255,-0.27231038,-0.21773686,-0.3409789,-0.33709905,1,0.4833107,-0.018852388,0.50423956,3.897905,True,True,True,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.8635162,1.1753724,-0.11095342,-0.23039849,-0.7267605,0.21663226,-0.3409789,-0.33709905,0,-0.47394583,0.08163206,-0.9722861,-0.23075241,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.89708674,1.1753724,-0.11095342,-1.2490195,2.5822048,-0.22572356,1.6647792,2.545732,0,-1.392977,0.274292,-0.13537298,4.3011756,True,False,False,-1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.20734605,-0.6900724,-0.11095342,0.78822255,0.011720975,-0.08594016,1.6647792,2.545732,1,1.6902739,-0.33524987,-0.31288475,-0.2314477,True,False,False,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.5750905,-1.4895487,-0.11095342,-1.2490195,-1.8202811,-0.8151814,-0.3409789,-0.33709905,0,-0.88467646,-0.7331826,-0.75201046,-0.22727594,True,True,True,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.054282382,0.37589598,-0.11095342,-1.0452954,-1.0675981,-0.26190242,-0.3409789,-0.33709905,0,-0.5526899,-0.10774017,-0.9631464,-0.22101828,True,True,True,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.85422593,1.1753724,-0.11095342,0.17704992,2.0567467,-0.54121476,-0.3409789,-0.33709905,0,-0.3978775,-0.43848404,-0.3212698,4.419376,True,True,True,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.07916527,1.1753724,-0.11095342,0.99194676,-0.91138095,-0.08807207,-0.3409789,-0.33709905,0,-0.60505855,0.27716127,0.8427445,-0.243963,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.8193999,-0.15708822,-0.11095342,0.58449835,-1.3232263,-0.5624384,-0.3409789,-0.33709905,0,-0.7693317,-0.5259372,-0.18048462,4.419376,True,True,True,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.22173344,0.10940389,-0.11095342,0.78822255,-0.04508524,-0.12345545,1.6647792,2.545732,0,-0.6451951,-0.31564316,-0.50850827,-0.24674417,True,False,False,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,1.1753724,-0.11095342,-1.0452954,-0.82617146,-0.41638651,-0.3409789,-0.33709905,0,0.75614357,-0.4196544,-0.2725526,-0.2314477,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.47784993,-0.6900724,-0.11095342,-0.02667429,1.0484356,0.03373329,-0.3409789,-0.33709905,1,0.67911965,0.59869957,1.917961,-0.24674417,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.89751357,0.6423881,-0.11095342,0.58449835,-0.79776835,-0.5154727,-0.3409789,-0.33709905,0,-1.0378643,-0.4592863,0.021930784,-0.24952535,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6732913,-1.4895487,-0.11095342,-0.8415711,-1.1102028,-0.18407175,-0.3409789,-0.33709905,1,-0.19451907,-0.09058429,-0.5723186,-0.2808136,True,True,True,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.3619474,-0.6900724,-0.11095342,0.17704992,0.67919475,-0.5612929,-0.3409789,-0.33709905,0,-0.22156346,-0.23016262,-1.0183201,-0.23770535,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.3257011,0.37589598,-0.11095342,-0.02667429,0.05432584,-0.41804114,-0.3409789,-0.33709905,0,-0.79723614,-0.47470865,0.107626125,-0.22310416,True,True,True,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.47887337,-0.6900724,-0.11095342,-1.656468,-1.2522185,-0.781198,-0.3409789,-0.33709905,0,-0.68819857,-0.61273277,-1.2887384,-0.26134536,True,True,True,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.14542758,1.1753724,-0.11095342,-0.02667429,0.05432584,0.834123,-0.3409789,-0.33709905,1,0.29648465,0.7365444,-0.31288475,-0.24465829,True,True,True,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.098831505,1.1753724,-0.11095342,0.58449835,1.3182653,0.24113333,1.6647792,2.545732,0,-1.246192,0.017850436,0.49920854,-0.28498536,True,False,False,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-1.4895487,-0.11095342,0.58449835,0.2247445,-0.1662846,-0.3409789,-0.33709905,1,-0.49181616,0.023768319,0.40462503,-0.2314477,True,True,True,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7351847,-0.9565645,-0.11095342,-0.23039849,-1.465242,-0.77833426,-0.3409789,-0.33709905,0,-0.6970859,-0.7241564,-0.35891876,-0.22727594,True,True,True,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.039225,1.1753724,-0.11095342,0.38077414,0.9632261,2.1724546,-0.3409789,-0.33709905,1,-0.21860099,4.1961145,7.713968,-0.23979123,True,True,True,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.261369,-0.42358032,-0.11095342,1.6031194,-0.14449632,2.0227118,-0.3409789,-0.33709905,1,1.0769492,2.2276714,3.3200276,-0.28637594,True,True,True,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.10935213,1.1753724,-0.11095342,0.99194676,0.59398526,-0.19469948,-0.3409789,-0.33709905,1,0.8859184,0.31272835,0.7764187,-0.25995478,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.072291434,-0.15708822,-0.11095342,-0.23039849,1.8011185,0.14462453,-0.3409789,-0.33709905,1,1.2878573,0.47275028,1.4342268,4.2872696,True,True,True,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.9565645,-0.11095342,-1.0452954,-0.25810874,-0.003145606,-0.3409789,-0.33709905,1,0.15724905,-0.3346521,-0.9912363,-0.2314477,True,True,True,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.48048034,1.1753724,-0.11095342,-0.43412268,0.6365899,-0.52120024,-0.3409789,-0.33709905,1,-0.6187241,-0.25078556,-0.4739618,-0.23770535,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.04858866,-1.4895487,-0.11095342,-0.6378469,3.7183301,0.01989177,1.6647792,2.545732,0,-0.9969632,0.7097645,0.32018745,-0.23909594,True,False,False,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0886985,1.1753724,-0.11095342,-1.4527438,-0.17289929,0.22051424,-0.3409789,-0.33709905,0,0.28654608,-0.5218724,-0.6662313,-0.2182371,True,True,True,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.05968079,1.1753724,-0.11095342,-0.6378469,-0.7125589,-0.42074582,-0.3409789,-0.33709905,0,-0.20034842,-0.26692522,-0.15818036,-0.22449476,True,True,True,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.45592386,1.1753724,-0.11095342,-1.0452954,0.62238854,-0.44954252,1.6647792,2.545732,0,-0.636021,-0.46353042,-0.72744226,-0.22171357,True,False,False,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,0.90888023,-0.11095342,-0.8415711,-1.3090247,-0.7341369,-0.3409789,-0.33709905,0,-0.65045106,-0.82482016,-0.2177143,-0.2314477,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6961715,-0.6900724,-0.11095342,1.195671,-0.88297766,0.06561651,3.6705375,2.545732,1,0.06541283,-0.07020047,1.2338239,-0.28498536,True,False,False,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.8392359,-1.2230566,-0.11095342,-0.02667429,-1.2664201,-0.7433009,-0.3409789,-0.33709905,0,-1.099598,-0.6206233,-0.6048526,-0.22588535,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6744966,-1.4895487,-0.11095342,-1.0452954,0.1821399,-0.6957943,-0.3409789,-0.33709905,0,-0.83355016,-0.6780686,-0.083637156,-0.22727594,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.6900724,-0.11095342,0.58449835,-0.91138095,-0.51069975,-0.3409789,-0.33709905,0,-1.1924855,-0.41744268,-0.33460206,-0.2314477,True,True,True,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.61607426,-0.42358032,-0.11095342,-1.0452954,-1.2096138,-0.6836074,-0.3409789,-0.33709905,0,-0.9392431,-0.60418475,-0.89220876,4.155164,True,True,True,-1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5326124,-1.4895487,-0.11095342,1.6031194,2.2555687,1.3143123,-0.3409789,-0.33709905,0,1.8431749,2.7181382,1.2298828,-0.220323,True,True,True,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.20734605,1.1753724,-0.11095342,0.17704992,1.289862,0.36386147,-0.3409789,-0.33709905,0,1.0851676,-0.4370494,2.3304222,-0.2314477,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,0.6423881,-0.11095342,0.38077414,-1.2238153,-0.09539057,-0.3409789,-0.33709905,0,0.22643681,-0.22017993,-0.06611238,-0.2314477,True,True,True,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.5603435,-0.42358032,-0.11095342,2.4180162,1.2188542,0.3509427,-0.3409789,-0.33709905,0,1.6835845,1.3924729,2.1415906,-0.23909594,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.112577,0.6423881,-0.11095342,6.288776,1.3040637,1.821962,-0.3409789,-0.33709905,0,1.7919531,3.4555423,3.7038956,3.9882932,True,True,True,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.42358032,-0.11095342,0.99194676,-0.5563417,0.029501285,-0.3409789,-0.33709905,0,-0.27794573,0.002308524,-0.26978555,-0.2314477,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.7892442,0.6423881,-0.11095342,-1.0452954,-0.38592282,0.015818864,-0.3409789,-0.33709905,0,1.8431749,-0.24175929,-1.2192261,-0.2189324,True,True,True,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.09204613,-0.42358032,-0.11095342,0.17704992,0.99162906,0.2134503,-0.3409789,-0.33709905,0,-0.14883986,0.9063696,0.46826768,-0.23770535,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6652816,1.1753724,-0.11095342,-0.6378469,-1.1102028,-0.8142586,-0.3409789,-0.33709905,0,-1.2553661,-0.7084351,-0.53643054,-0.24118182,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.6900724,-0.11095342,-0.8415711,1.9573356,-0.76872474,-0.3409789,-0.33709905,1,-1.2051953,-0.82344526,-1.4724551,-0.2314477,True,True,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.7630054,0.90888023,-0.11095342,0.78822255,-0.15869766,-0.58569854,-0.3409789,-0.33709905,0,-0.8012498,-0.6420233,-0.50616044,-0.2801183,True,True,True,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,1.1753724,-0.11095342,1.195671,0.33835718,-0.55639267,-0.3409789,-0.33709905,0,-0.4150789,-0.3596985,1.2299668,-0.2314477,True,True,True,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.4883896,-1.2230566,-0.11095342,-1.0452954,-0.30071336,-0.80754465,-0.3409789,-0.33709905,0,-1.018656,-0.70168036,-0.66748905,-0.22101828,True,True,True,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-1.2052479,-0.9565645,-0.11095342,0.58449835,-1.5504513,1.1026803,-0.3409789,-0.33709905,0,-0.8778915,-0.10762062,-0.93212163,-0.24743947,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.3583317,0.37589598,-0.11095342,-0.02667429,-1.1528076,0.15732054,-0.3409789,-0.33709905,1,0.30508533,0.56349117,0.09295227,-0.24883005,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6103494,-0.15708822,-0.11095342,0.17704992,-0.5705432,-0.6589472,-0.3409789,-0.33709905,1,0.4027509,-0.4922232,0.3374607,-0.2530018,True,True,True,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.2222023,-0.9565645,-0.11095342,1.6031194,0.6649931,-0.04152002,-0.3409789,-0.33709905,0,-1.3955573,0.28899705,0.27247646,-0.22101828,True,True,True,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.20734605,-1.4895487,-0.11095342,-0.02667429,0.05432584,0.025428379,-0.3409789,-0.33709905,1,-0.870342,-0.7658804,-0.8385443,-0.2314477,True,True,True,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.24074085,1.1753724,-0.11095342,-0.6378469,-0.34331822,-0.43446004,1.6647792,2.545732,0,-0.56625986,-0.30392694,-0.08187629,-0.24118182,True,False,False,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.41436866,0.90888023,-0.11095342,-0.43412268,-0.98238873,-0.11467324,-0.3409789,-0.33709905,1,0.66325617,0.29485515,0.54281086,-0.2703842,True,True,True,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.07128109,-1.4895487,-0.11095342,0.99194676,0.23894611,-0.33005998,1.6647792,2.545732,0,-0.72527707,-0.07916696,0.045576658,-0.24118182,True,False,False,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.6788404,1.1753724,-0.11095342,-0.43412268,-0.62734956,-0.6106132,-0.3409789,-0.33709905,0,-1.242465,-0.3320817,0.046582866,-0.22449476,True,True,True,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,-0.15708822,-0.11095342,0.38077414,-0.0024806475,1.2518823,-0.3409789,-0.33709905,0,0.3909011,2.3371222,0.8927195,-0.2314477,True,True,True,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.19344173,1.1753724,-0.11095342,-0.23039849,-0.08768984,-0.60638124,1.6647792,2.545732,0,-0.60668314,-0.8067078,0.1302658,-0.22379947,True,False,False,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.90379083,-1.4895487,-0.11095342,0.58449835,2.2271655,0.23861958,-0.3409789,-0.33709905,0,-0.83221227,-0.27332133,-0.27632588,-0.22101828,True,True,True,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.045073416,-0.6900724,7.2532115,-0.43412268,-1.2522185,-0.009477703,3.6705375,-0.33709905,0,-0.9492772,0.20674446,0.84853023,4.40547,False,False,True,-1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.7499547,0.10940389,-0.11095342,-0.02667429,0.48037285,1.8495177,-0.3409789,-0.33709905,0,-0.85113376,3.5463428,1.0036539,-0.23701005,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5426308,1.1753724,-0.11095342,0.58449835,-0.10189146,-0.43579647,1.6647792,2.545732,1,1.4200212,-0.40991083,0.69617367,-0.24604888,True,False,False,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.7978425,1.1753724,-0.11095342,-1.0452954,-0.14449632,4.778956,-0.3409789,-0.33709905,1,0.33126965,4.884741,2.08474,-0.23075241,True,True,True,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.16446011,1.1753724,-0.11095342,-0.6378469,0.5797837,8.03269,-0.3409789,-0.33709905,0,-0.7405672,4.2177534,0.39422756,-0.24952535,True,True,True,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.14006028,1.1753724,3.571129,-0.6378469,0.13953502,-0.5908851,1.6647792,-0.33709905,1,1.1512975,-0.7538653,0.56452817,-0.27664182,False,False,True,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.2785467,-0.15708822,-0.11095342,-0.8415711,-1.5220482,0.55242425,-0.3409789,-0.33709905,0,-0.20034842,-0.30392694,-0.23641299,-0.21754181,True,True,True,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.27717382,1.1753724,-0.11095342,-1.0452954,-0.2297055,-0.7975215,1.6647792,2.545732,0,1.8431749,-0.6906217,-0.8403891,-0.2898524,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.500467,-0.9565645,-0.11095342,0.38077414,0.6081869,-0.55247885,3.6705375,5.428563,0,-1.3557074,-0.7006044,-0.9040317,-0.24952535,True,False,False,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.9909186,1.1753724,-0.11095342,-0.43412268,-1.1102028,-0.6659793,-0.3409789,-0.33709905,1,-0.6319118,-0.60185343,-0.73146707,-0.2550877,True,True,True,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.9802724,1.1753724,-0.11095342,1.195671,1.0342339,-0.47366178,-0.3409789,-0.33709905,0,-0.9972499,-0.18999276,-0.54489946,-0.22727594,True,True,True,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
